animeID,name,studio,episodes,airing,rank,popularity,members,favorites,reviewers,Animation_score
1,0,0,26,FALSE,26,39,795733,43460,405664,8.81
5,0,0,1,FALSE,164,449,197791,776,120243,8.41
6,0,0,26,FALSE,255,146,408548,10432,212537,8.3
7,0,0,26,FALSE,2371,1171,79397,537,32837,7.33
8,0,0,52,FALSE,3544,3704,11708,14,4894,7.03
16,0,0,24,FALSE,419,536,172274,3752,57065,8.12
17,0,0,52,FALSE,1186,3124,17145,210,9307,7.67
18,0,0,24,FALSE,298,1262,73438,635,42555,8.23
19,0,0,74,FALSE,49,156,394387,19188,131233,8.69
20,0,0,220,FALSE,705,10,1091313,39356,716412,7.9
21,0,0,0,TRUE,94,36,803871,76869,465454,8.53
22,0,0,178,FALSE,577,856,113662,2885,50306,8
23,0,0,12,FALSE,5641,6501,2930,18,825,6.54
25,0,0,24,FALSE,1679,1049,89817,673,36185,7.5
26,0,0,22,FALSE,942,690,138500,2864,32198,7.78
27,0,0,24,FALSE,2081,695,137800,1403,61471,7.4
28,0,0,69,FALSE,566,1388,65862,785,27616,8.01
29,0,0,26,FALSE,1564,3575,12951,125,4534,7.54
30,0,0,26,FALSE,215,50,715531,45828,402215,8.33
31,0,0,1,FALSE,1672,734,130163,413,74480,7.5
32,0,0,1,FALSE,107,212,333046,9558,215979,8.5
33,0,0,25,FALSE,124,222,325769,13782,166504,8.47
43,0,0,1,FALSE,209,177,364643,8400,199591,8.34
44,0,0,4,FALSE,31,504,180923,4986,94681,8.78
45,0,0,94,FALSE,182,265,296561,9044,143693,8.39
46,0,0,1,FALSE,1325,1984,38686,97,21576,7.62
47,0,0,1,FALSE,356,193,351163,5845,214961,8.17
48,0,0,26,FALSE,3341,704,135481,1229,63557,7.08
50,0,0,24,FALSE,1949,824,117198,1035,59169,7.42
51,0,0,3,FALSE,6216,1933,40458,202,23620,6.4
53,0,0,24,FALSE,2844,1139,81572,415,40592,7.2
54,0,0,1,FALSE,2935,1517,57811,158,34723,7.18
55,0,0,26,FALSE,5373,3623,12444,16,4474,6.59
56,0,0,13,FALSE,7805,3427,14237,19,5451,5.96
57,0,0,26,FALSE,197,448,198237,6022,91614,8.36
58,0,0,26,FALSE,3232,1586,54058,360,21542,7.11
59,0,0,26,FALSE,1629,211,334276,3418,182381,7.51
60,0,0,24,FALSE,985,530,172946,1946,81366,7.75
61,0,0,26,FALSE,2456,637,148256,1448,78088,7.3
62,0,0,26,FALSE,4164,1485,59502,183,24731,6.86
63,0,0,12,FALSE,4750,882,110662,362,61303,6.73
64,0,0,12,FALSE,1617,610,154546,1929,76580,7.52
65,0,0,12,FALSE,1053,1104,84149,481,48438,7.73
67,0,0,24,FALSE,1249,722,132611,1345,57199,7.64
69,0,0,25,FALSE,6013,4332,8136,13,2241,6.44
71,0,0,24,FALSE,1013,203,340901,4032,177049,7.74
72,0,0,12,FALSE,385,399,215819,2743,133639,8.14
73,0,0,13,FALSE,536,456,195923,1287,115427,8.02
75,0,0,25,FALSE,2286,2124,34454,232,10912,7.35
76,0,0,13,FALSE,1741,1209,77124,967,32683,7.48
77,0,0,13,FALSE,499,1672,49952,952,26706,8.05
79,0,0,24,FALSE,2835,433,202630,1503,101261,7.21
80,0,0,43,FALSE,804,1270,72598,1438,31375,7.85
81,0,0,12,FALSE,458,1715,48063,752,26728,8.09
82,0,0,6,FALSE,742,2208,32457,507,17659,7.88
83,0,0,1,FALSE,4029,3999,9829,3,5015,6.9
84,0,0,13,FALSE,2064,2448,26920,192,15167,7.4
85,0,0,50,FALSE,586,1923,40759,1292,20063,7.99
86,0,0,47,FALSE,4768,2642,23757,80,11017,6.73
87,0,0,1,FALSE,1019,2491,26241,205,15090,7.74
88,0,0,1,FALSE,4521,3050,18010,40,9833,6.78
89,0,0,51,FALSE,4214,3167,16608,82,6156,6.85
90,0,0,49,FALSE,867,909,108562,2278,62406,7.82
